INDEX,RCR,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,MS,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED,NSAT,SID,SNR,
1,T,2024/1/16,9:29:25,2024/1/16,10:29:25,  0,SPS,55.3959765909,N,10.3555457931,E,150,1.184,3,23;10;21;15;19;13;22;30;17;14;05;08,-26;-26;-22;-00;-00;-00;-00;-00;-00;-00;-00;-00,
2,T,2024/1/16,9:29:40,2024/1/16,10:29:40,  0,SPS,55.3961995938,N,10.3553326472,E,147,2.892,5,23;10;21;13;15;05;08;17;30;14;22;19,-27;-28;-24;-00;-00;-00;-17;-00;-00;-15;-00;-00,
3,T,2024/1/16,9:29:55,2024/1/16,10:29:55,  0,SPS,55.3963095613,N,10.3552604989,E,143,2.381,5,23;10;21;15;05;08;22;13;14;19,-27;-25;-22;-00;-00;-17;-00;-00;-17;-00,
4,T,2024/1/16,9:30:10,2024/1/16,10:30:10,  0,SPS,55.3963058305,N,10.3552319314,E,141,1.380,5,23;10;21;15;13;30;08;22;19;14;17;05,-27;-27;-21;-00;-00;-00;-19;-00;-00;-17;-00;-00,
5,T,2024/1/16,9:30:25,2024/1/16,10:30:25,  0,SPS,55.3962960528,N,10.3552625961,E,139,0.796,5,23;10;21;13;05;15;08;19;30;14;22;17,-29;-25;-21;-00;-00;-00;-20;-00;-00;-18;-00;-00,
6,T,2024/1/16,9:30:40,2024/1/16,10:30:40,  0,SPS,55.3962935008,N,10.3553125244,E,137,0.152,5,23;10;21;13;19;22;08;17;05;14;30;15,-29;-25;-22;-00;-00;-00;-18;-00;-00;-18;-00;-00,
7,T,2024/1/16,9:30:55,2024/1/16,10:30:55,  0,SPS,55.3963234050,N,10.3552991306,E,137,0.673,5,23;10;21;22;05;08;30;19;14;15;13,-29;-25;-21;-00;-00;-17;-00;-00;-15;-00;-00,
8,T,2024/1/16,9:31:10,2024/1/16,10:31:10,  0,SPS,55.3964205502,N,10.3553173921,E,137,1.167,5,23;10;21;05;30;22;08;13;15;14;17,-30;-26;-23;-00;-00;-00;-17;-00;-00;-16;-00,
9,T,2024/1/16,9:31:25,2024/1/16,10:31:25,  0,SPS,55.3963799381,N,10.3552839148,E,128,0.897,3,23;10;21;19;13;08;14;30;17,-30;-27;-22;-00;-00;-00;-00;-00;-00,
10,T,2024/1/16,9:31:40,2024/1/16,10:31:40,  0,SPS,55.3961947217,N,10.3553031214,E,127,0.388,5,23;10;21;15;13;05;08;19;02;22;17;30;14,-29;-28;-23;-00;-00;-00;-16;-00;-27;-00;-00;-00;-00,
11,T,2024/1/16,9:31:55,2024/1/16,10:31:55,  0,SPS,55.3960610222,N,10.3553552819,E,124,1.733,6,23;10;21;05;14;30;08;22;02;13;15;17,-29;-27;-22;-00;-17;-00;-17;-00;-26;-00;-00;-00,
12,T,2024/1/16,9:32:10,2024/1/16,10:32:10,  0,SPS,55.3961493981,N,10.3553450988,E,120,0.504,6,23;10;21;30;14;19;08;22;02;17;13,-30;-27;-22;-00;-16;-00;-17;-00;-26;-00;-00,
13,T,2024/1/16,9:32:25,2024/1/16,10:32:25,  0,SPS,55.3960912008,N,10.3553696664,E,116,0.119,6,23;10;21;30;14;05;08;13;02;15;17;22;19,-31;-28;-24;-00;-16;-00;-16;-00;-26;-00;-00;-00;-00,
14,T,2024/1/16,9:32:40,2024/1/16,10:32:40,  0,SPS,55.3960971840,N,10.3553432560,E,114,0.949,6,23;10;21;13;14;17;08;05;02;22;15;30,-31;-28;-25;-00;-16;-00;-16;-00;-28;-00;-00;-00,
15,T,2024/1/16,9:32:55,2024/1/16,10:32:55,  0,SPS,55.3956126412,N,10.3552030456,E,67,2.031,6,23;10;21;19;14;05;08;22;02;17;15;13;30,-32;-28;-25;-00;-16;-00;-15;-00;-31;-00;-00;-00;-00,
16,T,2024/1/16,9:33:10,2024/1/16,10:33:10,  0,SPS,55.3956388640,N,10.3552121710,E,65,1.593,6,23;10;21;30;14;05;08;19;02;15;17;22;13,-32;-28;-26;-00;-16;-00;-15;-00;-28;-00;-00;-00;-00,
17,T,2024/1/16,9:33:25,2024/1/16,10:33:25,  0,SPS,55.3956495412,N,10.3552047452,E,65,0.196,5,23;10;21;22;14;30;08;17;02;05;15;19;13,-32;-26;-27;-00;-18;-00;-00;-00;-29;-00;-00;-00;-00,
18,T,2024/1/16,9:33:40,2024/1/16,10:33:40,  0,SPS,55.3956357634,N,10.3552164527,E,65,0.659,5,23;10;21;05;14;30;17;15;02;22;19;13;08,-32;-27;-27;-00;-19;-00;-00;-00;-31;-00;-00;-00;-00,
19,T,2024/1/16,9:33:55,2024/1/16,10:33:55,  0,SPS,55.3956328059,N,10.3552340169,E,65,0.596,5,23;10;21;14;13;15;22;02;30;19;17;08,-32;-27;-23;-17;-00;-00;-00;-28;-00;-00;-00;-00,
20,T,2024/1/16,9:34:10,2024/1/16,10:34:10,  0,SPS,55.3956425521,N,10.3552315997,E,65,0.228,5,23;10;21;19;14;30;15;13;02;17;05;22;08,-33;-27;-23;-00;-15;-00;-00;-00;-25;-00;-00;-00;-00,
21,T,2024/1/16,9:34:25,2024/1/16,10:34:25,  0,SPS,55.3956429285,N,10.3552313350,E,65,0.044,5,23;10;21;13;14;30;19;15;02;22;05;17,-33;-27;-24;-00;-16;-00;-00;-00;-24;-00;-00;-00,
22,T,2024/1/16,9:34:40,2024/1/16,10:34:40,  0,SPS,55.3956580657,N,10.3552266341,E,65,0.770,5,23;10;21;19;14;13;05;17;02;15;22;30,-33;-26;-26;-00;-18;-00;-00;-00;-26;-00;-00;-00,
23,T,2024/1/16,9:34:55,2024/1/16,10:34:55,  0,SPS,55.3957078156,N,10.3552323880,E,65,0.829,5,23;10;21;30;14;17;19;13;02;05;22;15,-33;-27;-26;-00;-16;-00;-00;-00;-26;-00;-00;-00,
24,T,2024/1/16,9:35:10,2024/1/16,10:35:10,  0,SPS,55.3957509629,N,10.3551721773,E,65,0.772,5,23;10;21;13;14;05;17;19;02;22;30;15,-32;-28;-25;-00;-17;-00;-00;-00;-23;-00;-00;-00,
25,T,2024/1/16,9:35:25,2024/1/16,10:35:25,  0,SPS,55.3957730413,N,10.3551898060,E,65,0.263,5,23;10;21;19;14;15;13;30;02;22;17;05,-31;-27;-25;-00;-18;-00;-00;-00;-23;-00;-00;-00,
